count,percentile_0,facility_type,floor_area_min,floor_area_max,percentile_50,standard_dev,percentile_25,percentile_75,percentile_100,mean
0,,Service - Post office or postal center,20000.0,50000.0,,,,,,
0,,Apartment Unit,1000.0,2000.0,,,,,,
0,,Retail - Uncategorized,10000.0,20000.0,,,,,,
0,,Health Care - Inpatient,200000.0,14500000.0,,,,,,
0,,Office - Uncategorized,10000.0,20000.0,,,,,,
0,,Lodging - Dormitory or fraternity/sorority,20000.0,50000.0,,,,,,
0,,Office - Uncategorized,200000.0,14500000.0,,,,,,
21,34.2574930748836,Service - Post office or postal center,10000.0,20000.0,146.1959459459459,204.95700740533624,112.23648648648647,185.38974358974357,709.7217391304347,227.24274981249107
0,,Education - Elementary or middle school,50000.0,100000.0,,,,,,
0,,Food Sales,100000.0,200000.0,,,,,,
0,,Commercial - Other,50000.0,100000.0,,,,,,
0,,Food Service - Uncategorized,1000.0,2000.0,,,,,,
0,,Retail - Uncategorized,50000.0,100000.0,,,,,,
0,,Warehouse - Non-refrigerated,10000.0,20000.0,,,,,,
11,12.531138622425624,Single Family - Detached,2000.0,5000.0,80.15404502401708,30.756217531321468,73.32569196030158,90.22541184736569,132.4318280904374,77.29343356309174
0,,Food Sales,200000.0,14500000.0,,,,,,
0,,Education - Other classroom,10000.0,20000.0,,,,,,
0,,Office - Government,100000.0,200000.0,,,,,,
0,,Office - Uncategorized,50000.0,100000.0,,,,,,
0,,Food Service - Uncategorized,2000.0,5000.0,,,,,,
0,,Apartment Unit,0.0,1000.0,,,,,,
0,,Education - Elementary or middle school,20000.0,50000.0,,,,,,
0,,Retail - Big Box (> 50K sf),50000.0,100000.0,,,,,,
0,,Office - Uncategorized,20000.0,50000.0,,,,,,
0,,Retail - Uncategorized,100000.0,200000.0,,,,,,
