count,percentile_0,facility_type,floor_area_min,floor_area_max,percentile_50,standard_dev,percentile_25,percentile_75,percentile_100,mean
11,31.71615720524017,Service - Post office or postal center,20000.0,50000.0,52.09422492401215,21.511189890843415,45.81919552815074,60.443218573116866,99.5321888412017,57.80264232393745
0,,Multifamily - Uncategorized,10000.0,20000.0,,,,,,
106,22.499999999999996,Retail - Uncategorized,10000.0,20000.0,107.85165273324961,27.46095356939187,101.3386174149599,118.69312695937185,181.4897941469062,108.2990758766404
14,18.871480192135248,Education - Elementary or middle school,20000.0,50000.0,47.7739443996194,19.359651057756086,34.43560459296273,63.84852240039022,78.2131325802067,48.67177004023237
25,3.1818181818181817,Commercial - Other,5000.0,10000.0,62.092307692307685,86.2709520165728,47.725490196078425,77.95294117647057,461.80821917808214,84.28809056478175
0,,Single Family - Uncategorized,1000.0,2000.0,,,,,,
39,11.499999999999998,Retail - Uncategorized,20000.0,50000.0,51.217247578497684,19.541669544952097,42.59488540558327,65.29625553729139,100.0,54.418897818075784
40,15.999999999999996,Service - Post office or postal center,10000.0,20000.0,53.13415713106051,23.35040472584922,42.21737749546279,61.99968825249397,159.33333333333331,54.67760601955392
25,5.243243243243242,Commercial - Other,2000.0,5000.0,55.043478260869556,97.23322599684064,34.63636363636363,105.41304347826086,389.41666666666663,87.39069898058253
27,11.274637081332568,Education - Elementary or middle school,50000.0,100000.0,37.5096747086207,15.185102993243031,29.569572756823124,47.45324842691866,68.68329336184405,39.27841874574979
59,86.99999999999999,Food Sales,100000.0,200000.0,105.99999999999999,14.24475048651763,98.99999999999999,116.49999999999997,152.99999999999997,109.18644067796609
46,23.099999999999998,Retail - Uncategorized,2000.0,5000.0,86.6,66.72188073270854,69.09999999999998,103.27499999999998,508.49999999999994,94.80427655024944
16,201.20499999999996,Food Service - Uncategorized,1000.0,2000.0,319.42343761162033,64.16504076849444,266.6487846066293,344.08071428571424,433.8976127320954,314.7733081194267
0,,Single Family - Uncategorized,2000.0,5000.0,,,,,,
23,35.79406877958556,Retail - Uncategorized,50000.0,100000.0,41.35374268468331,6.239291997757797,39.013219767868435,44.10688117031313,64.0,42.4711401658812
70,8.244236490287504,Single Family - Detached,2000.0,5000.0,27.658362033849656,12.50589815795669,23.109347447826018,37.18715113406864,78.17404797124085,30.303805456647094
28,88.99999999999999,Food Sales,200000.0,14500000.0,102.99999999999999,8.380106829640686,100.99999999999999,107.49999999999999,123.99999999999999,104.17857142857142
17,11.311740890688256,Commercial - Other,20000.0,50000.0,58.862348178137644,60.24705974547505,38.67441860465116,77.53904282115867,279.5407407407407,71.23834023769241
0,,Multifamily - Uncategorized,20000.0,50000.0,,,,,,
61,12.520533116458363,Single Family - Detached,1000.0,2000.0,42.30311331698312,24.12947238221908,31.287760863052036,57.12949958889205,112.73116194507917,48.61998692848885
11,37.259582624300734,Retail - Big Box (> 50K sf),50000.0,100000.0,42.47205050526392,2.6256948709826764,41.10629435332682,43.85851386566567,47.699120880422626,42.45897143780412
16,15.299999999999997,Retail - Uncategorized,5000.0,10000.0,87.14999999999998,32.20852278706972,57.175,105.23138544297731,126.24867733036956,80.55773541647719
68,243.35183043405274,Food Service - Restaurant or cafeteria,2000.0,5000.0,465.60360239705733,117.88604878444377,394.9834285321714,543.50939255752,854.1409068960108,477.17479909047535
14,40.325159712127544,Retail - Uncategorized,100000.0,200000.0,59.18344002957657,14.91059983440337,50.90675181373226,67.01921442631723,90.8443472988638,60.52515071994784
19,7.787709497206702,Commercial - Other,10000.0,20000.0,57.72799999999999,68.62362569493284,38.044735406437525,130.3940789473684,265.02586206896547,89.94527657705738
