count,percentile_0,facility_type,floor_area_min,floor_area_max,percentile_50,standard_dev,percentile_25,percentile_75,percentile_100,mean
40,14.420810988857792,Education - Elementary or middle school,200000.0,14500000.0,31.945953929500835,9.275647489434547,21.728010021179795,35.83027131818566,51.97622745707552,30.26576908686772
56,23.74130434782608,Service - Post office or postal center,20000.0,50000.0,50.27086671810393,21.771499893267706,38.80999396944519,60.068699602925015,134.73278236914598,54.235123595616635
0,,Multifamily - Uncategorized,10000.0,20000.0,,,,,,
197,44.49999999999999,Retail - Uncategorized,10000.0,20000.0,100.42895134370056,21.715111448534447,92.94408402842136,116.9770438281413,187.7350960168695,105.01324463510063
303,14.740256032692555,Office - Uncategorized,200000.0,14500000.0,57.57930634063886,28.35416103543812,46.96772606346269,67.20127062433502,330.3082220294774,59.22149527967525
51,16.051939101525026,Single Family - Uncategorized,1000.0,2000.0,45.75735010701309,12.854539489405974,38.53085905083657,54.79957726007586,77.05657622221923,47.006685264596115
73,32.11202210141698,Retail - Uncategorized,20000.0,50000.0,53.15734840176104,15.532547475930373,45.19708206686929,65.0,112.0,55.76982212165141
74,26.18390804597701,Service - Post office or postal center,10000.0,20000.0,54.40005574136008,20.46981513265615,44.311261398176285,66.53273809523809,156.062893081761,57.773168563868104
48,13.21966279060158,Education - Elementary or middle school,50000.0,100000.0,42.13751200112644,17.90080273641855,38.12970348692251,46.1502633090728,146.53221559270008,45.10204012345488
69,82.99999999999999,Food Sales,100000.0,200000.0,105.99999999999999,13.105139136299012,97.99999999999999,115.99999999999999,137.99999999999997,107.92753623188405
63,7.599999999999999,Retail - Uncategorized,2000.0,5000.0,104.39999999999998,38.16255082803616,79.79999999999998,120.6,211.09999999999997,97.65035996183533
84,202.08410256410252,Food Service - Uncategorized,1000.0,2000.0,297.8096923076922,46.944244857355486,268.35059920634916,335.18933637820504,414.9348571428571,301.78072549051967
63,9.181794818350115,Single Family - Uncategorized,2000.0,5000.0,37.606505098072056,14.24914672973549,29.777468866619415,49.80215459918554,70.56493267939605,39.57169989218263
60,17.441867340754207,Retail - Uncategorized,50000.0,100000.0,43.3564075171997,18.055182988131328,40.35124715495418,48.31863116223667,150.13702266182077,46.722605503411245
171,2.3012219025940914,Single Family - Detached,2000.0,5000.0,29.782812946621608,14.236060668438064,21.49911567650752,40.51660034523596,86.07799958288655,31.797500421542775
50,82.99999999999999,Food Sales,200000.0,14500000.0,103.49999999999999,9.46995248140137,97.99999999999999,107.99999999999999,127.99999999999999,103.43999999999998
56,20.83595335567721,Office - Uncategorized,50000.0,100000.0,61.99987551574241,42.42724369402417,49.96166194299443,75.60335433193832,208.36898395721923,74.60212298115617
236,24.33221425908166,Office - Uncategorized,100000.0,200000.0,53.86130858413466,24.50811547147196,45.66762520437288,63.16654047800365,222.92172897196258,57.20406088889011
223,18.363398409142388,Education - Elementary or middle school,100000.0,200000.0,34.37167512051947,5.729483221678827,30.5925637086714,37.75027972063324,53.37427214960793,34.18734565903172
94,5.7120602552474065,Single Family - Detached,1000.0,2000.0,49.935492774735394,26.362272423533515,33.408883884039426,68.45226922073782,181.1535270243579,53.47876067460782
50,7.835619932734776,Office - Uncategorized,20000.0,50000.0,56.02540971349181,44.99140692803132,47.88798865887108,72.20476612455795,297.32123834733926,68.39566851983056
90,64.47262824638067,Food Service - Restaurant or cafeteria,2000.0,5000.0,436.21793900226635,123.3571113115173,379.5812204864925,494.0753580454192,904.2005326873859,445.0684031041543
132,17.518187233555295,Education - Other classroom,100000.0,200000.0,34.17790712824958,4.817261727634875,32.091939489870946,37.631731853346594,44.279873756889934,34.06826273943562
120,12.077380874310789,Commercial - Uncategorized,200000.0,14500000.0,27.802709555523165,12.3034031439307,21.25306619432741,32.41132873721753,97.51182784673966,29.167992481671092
43,4.22623452516552,Single Family - Detached,5000.0,10000.0,15.697596024623817,9.80827430734202,11.460262705230981,25.37173802522019,47.268227099368445,19.01929106167756
