count,percentile_0,facility_type,floor_area_min,floor_area_max,percentile_50,standard_dev,percentile_25,percentile_75,percentile_100,mean
12,35.22539682539682,Service - Post office or postal center,20000.0,50000.0,61.68357142857141,21.575582785494884,44.39622235872235,79.2401233798604,94.47656249999999,62.79748492273021
0,,Grocery store or food market,50000.0,100000.0,,,,,,
0,,Education - Other classroom,50000.0,100000.0,,,,,,
64,46.34868575912122,Retail - Uncategorized,10000.0,20000.0,112.93865719052789,20.69595277532994,98.86212420169028,129.4581753117959,158.72997264556466,114.61171148602132
0,,Health Care - Inpatient,200000.0,14500000.0,,,,,,
0,,Office - Uncategorized,5000.0,10000.0,,,,,,
0,,Office - Uncategorized,1000.0,2000.0,,,,,,
14,35.56826401446654,Office - Uncategorized,200000.0,14500000.0,81.41361859578609,52.62685222096299,71.39002560212764,104.91010853459406,261.162892560284,95.19627994417132
0,,Education - Other classroom,20000.0,50000.0,,,,,,
12,42.56262686486641,Retail - Uncategorized,20000.0,50000.0,64.1388242898267,21.42955249217179,48.341689904754055,85.0,101.0,67.70383657955071
24,26.39814814814814,Service - Post office or postal center,10000.0,20000.0,45.339707536557924,24.599084412867622,40.90483140907897,53.47697486000238,148.9473684210526,52.148636184230575
16,19.17779039248849,Education - Elementary or middle school,50000.0,100000.0,31.749403814796434,6.055478542950869,29.233931069480178,37.21295856325581,41.11622865158241,32.25255640171555
40,89.99999999999999,Food Sales,100000.0,200000.0,109.99999999999997,12.433386608808657,104.49999999999999,113.49999999999997,140.99999999999997,110.97499999999998
0,,Food Service - Uncategorized,1000.0,2000.0,,,,,,
11,39.08900333993017,Retail - Uncategorized,50000.0,100000.0,40.44333047750254,7.431543712027812,39.918565794422925,42.06897806166764,65.0,43.01260409235791
10,24.92307692307692,Service - Post office or postal center,5000.0,10000.0,46.70155691142436,43.637061241469254,34.044656888423255,59.76358173076922,170.70149253731338,60.57438893926885
30,11.430241912495763,Single Family - Detached,2000.0,5000.0,31.50567592099516,13.02343755571389,25.898842467610223,44.692894566415646,68.18093307622874,34.814807982977804
18,86.99999999999999,Food Sales,200000.0,14500000.0,105.99999999999999,8.610868645121084,98.24999999999999,108.74999999999999,117.99999999999999,104.16666666666666
0,,Office - Uncategorized,50000.0,100000.0,,,,,,
29,26.22741253057199,Single Family - Detached,1000.0,2000.0,54.873923453302574,23.84452055687169,35.10550292407198,71.19438318011069,114.03785582697815,56.966644852423215
0,,Retail - Big Box (> 50K sf),50000.0,100000.0,,,,,,
15,29.313315926892944,Office - Uncategorized,20000.0,50000.0,64.59031296572279,118.11073128247688,51.980538712629674,219.5446752989231,385.8992805755395,140.81737501101753
0,,Education - Other classroom,100000.0,200000.0,,,,,,
10,5.615384615384615,Office - Uncategorized,2000.0,5000.0,75.55514705882351,96.37912128420217,36.63392857142857,129.83578431372547,305.62499999999994,103.90859908065788
0,,Single Family - Detached,5000.0,10000.0,,,,,,
