count,percentile_0,facility_type,floor_area_min,floor_area_max,percentile_50,standard_dev,percentile_25,percentile_75,percentile_100,mean
0,,Service - Post office or postal center,20000.0,50000.0,,,,,,
0,,Residential - Other,1000.0,2000.0,,,,,,
14,44.439095298153944,Retail - Uncategorized,10000.0,20000.0,108.95520388414937,33.7008180157861,97.33217689482764,126.44152389169645,162.93976265585096,109.43753675710036
0,,Office - Uncategorized,10000.0,20000.0,,,,,,
0,,Commercial - Unknown,20000.0,50000.0,,,,,,
23,35.24663094380312,Retail - Uncategorized,20000.0,50000.0,58.41342536131679,16.506960910300062,49.36346320268282,69.18041379639453,96.0,61.31886720978674
15,27.6788990825688,Service - Post office or postal center,10000.0,20000.0,77.64864864864863,45.659809942056526,70.86408057439169,86.47724704673855,223.52631578947367,87.55420246891624
0,,Commercial - Other,2000.0,5000.0,,,,,,
0,,Office - Uncategorized,5000.0,10000.0,,,,,,
0,,Education - College or university,200000.0,14500000.0,,,,,,
0,,Food Sales,100000.0,200000.0,,,,,,
0,,Commercial - Other,50000.0,100000.0,,,,,,
0,,Office - Uncategorized,100000.0,200000.0,,,,,,
0,,Food Service - Uncategorized,1000.0,2000.0,,,,,,
0,,Education - High school,200000.0,14500000.0,,,,,,
14,30.0,Retail - Uncategorized,50000.0,100000.0,46.075938274912815,10.769736655029698,38.001733503401844,55.149705743975204,62.659536844754946,46.3842540518648
0,,Single Family - Detached,2000.0,5000.0,,,,,,
0,,Food Sales,200000.0,14500000.0,,,,,,
0,,Commercial - Uncategorized,100000.0,200000.0,,,,,,
22,39.97460330414176,Education - Elementary or middle school,20000.0,50000.0,58.48124570199704,14.225774597185302,49.362437147519316,68.29241052429256,97.82625357150526,60.79645435874017
0,,Warehouse - Uncategorized,1000.0,2000.0,,,,,,
0,,Office - Uncategorized,20000.0,50000.0,,,,,,
0,,Single Family - Attached,2000.0,5000.0,,,,,,
0,,Retail - Uncategorized,100000.0,200000.0,,,,,,
0,,Commercial - Other,10000.0,20000.0,,,,,,
