count,percentile_0,facility_type,floor_area_min,floor_area_max,percentile_50,standard_dev,percentile_25,percentile_75,percentile_100,mean
0,,Service - Post office or postal center,20000.0,50000.0,,,,,,
0,,Apartment Unit,1000.0,2000.0,,,,,,
0,,Office - Uncategorized,200000.0,14500000.0,,,,,,
0,,Food Sales,50000.0,100000.0,,,,,,
0,,Office - Government,20000.0,50000.0,,,,,,
10,59.543746548035436,Retail - Uncategorized,20000.0,50000.0,65.82077881660508,32.459056890886856,61.500332609705524,102.34632884864581,157.0,84.31781981799757
0,,Service - Post office or postal center,10000.0,20000.0,,,,,,
0,,Office - Uncategorized,5000.0,10000.0,,,,,,
0,,Food Sales,100000.0,200000.0,,,,,,
0,,Food Service - Uncategorized,1000.0,2000.0,,,,,,
0,,Service - Post office or postal center,2000.0,5000.0,,,,,,
0,,Retail - Uncategorized,50000.0,100000.0,,,,,,
0,,Service - Post office or postal center,5000.0,10000.0,,,,,,
15,15.853349263100943,Single Family - Detached,2000.0,5000.0,25.81323830382659,15.568959483090977,24.126437892625685,34.43932645471743,77.34562968978555,31.775368279092103
0,,Commercial - Unknown,5000.0,10000.0,,,,,,
0,,Education - Other classroom,10000.0,20000.0,,,,,,
0,,Food Sales,200000.0,14500000.0,,,,,,
0,,Office - Government,100000.0,200000.0,,,,,,
0,,Food Service - Uncategorized,2000.0,5000.0,,,,,,
0,,Lodging - Uncategorized,20000.0,50000.0,,,,,,
0,,Apartment Unit,0.0,1000.0,,,,,,
0,,Education - Other classroom,5000.0,10000.0,,,,,,
0,,Office - Uncategorized,20000.0,50000.0,,,,,,
0,,Retail - Uncategorized,100000.0,200000.0,,,,,,
0,,Health Care - Inpatient,50000.0,100000.0,,,,,,
