count,percentile_0,facility_type,floor_area_min,floor_area_max,percentile_50,standard_dev,percentile_25,percentile_75,percentile_100,mean
0,,Service - Post office or postal center,20000.0,50000.0,,,,,,
29,62.246327533384566,Retail - Uncategorized,10000.0,20000.0,111.21167448534212,79.00635411781678,90.79376059410866,134.71192085414827,508.392651423013,123.13126345640681
0,,Education - Elementary or middle school,20000.0,50000.0,,,,,,
0,,Office - Uncategorized,200000.0,14500000.0,,,,,,
0,,Commercial - Uncategorized,200000.0,14500000.0,,,,,,
0,,Single Family - Uncategorized,1000.0,2000.0,,,,,,
40,47.84862920262885,Retail - Uncategorized,20000.0,50000.0,61.557881047259336,10.387511338812054,56.45786758826801,72.48011172938257,91.0,64.30750894854332
0,,Service - Post office or postal center,10000.0,20000.0,,,,,,
17,36.78310661379037,Education - Elementary or middle school,50000.0,100000.0,49.05503386916198,8.731144521983595,46.4821134935324,52.59518585787554,69.59316314986827,50.74436623440492
0,,Food Sales,100000.0,200000.0,,,,,,
0,,Office - Uncategorized,100000.0,200000.0,,,,,,
0,,Food Service - Uncategorized,1000.0,2000.0,,,,,,
0,,Single Family - Uncategorized,2000.0,5000.0,,,,,,
0,,Education - High school,200000.0,14500000.0,,,,,,
20,29.0,Retail - Uncategorized,50000.0,100000.0,41.66325883380735,11.625710134272994,38.00424505551362,50.393285868755676,79.14004372937593,45.3147589430718
25,8.005995888317697,Single Family - Detached,2000.0,5000.0,23.982297091788958,14.692277102380396,16.542482722327648,29.125287414342548,69.8125364519298,26.372373617305357
0,,Food Sales,200000.0,14500000.0,,,,,,
0,,Retail - Big Box (> 50K sf),100000.0,200000.0,,,,,,
0,,Multifamily - Uncategorized,20000.0,50000.0,,,,,,
0,,Apartment Unit,0.0,1000.0,,,,,,
0,,Education - Elementary or middle school,100000.0,200000.0,,,,,,
0,,Retail - Big Box (> 50K sf),50000.0,100000.0,,,,,,
0,,Retail - Uncategorized,5000.0,10000.0,,,,,,
0,,Single Family - Uncategorized,0.0,1000.0,,,,,,
17,21.0,Retail - Uncategorized,100000.0,200000.0,44.58452570537357,13.612267160337034,37.626946972621596,55.05921631016123,66.9063656736355,46.3389277817012
