count,percentile_0,facility_type,floor_area_min,floor_area_max,percentile_50,standard_dev,percentile_25,percentile_75,percentile_100,mean
95,9.56190476190476,Service - Post office or postal center,10000.0,20000.0,79.95238095238093,39.73547746264041,64.7486619090098,102.22363636363634,318.3999999999999,84.28495559765533
118,21.67436580526283,Education - Uncategorized,50000.0,100000.0,71.34768488407312,27.770893760680774,54.586091824873144,87.37220785718864,197.4168918805887,74.44338047111576
184,8.875683060109287,Retail - Uncategorized,10000.0,20000.0,94.67690324612204,35.49436572264363,65.217521046958,114.69567316590243,201.29999999999993,94.3209368220203
55,11.715539013691345,Health Care - Inpatient,200000.0,14500000.0,213.41010816859378,88.5380987627001,157.40544774503365,265.5210702080006,437.2714030969904,219.61139615244755
225,11.000064762881312,Office - Uncategorized,200000.0,14500000.0,72.87029997345859,47.923754054246594,60.74533303147557,87.91045964979318,411.55660108848474,81.20679211506335
61,14.106336613595975,Commercial - Uncategorized,200000.0,14500000.0,28.66872367967044,27.695521177698634,22.260051082813085,36.73313924569153,204.28802101350146,35.75304114216709
5185,4.149388157472155,Single Family - Uncategorized,1000.0,2000.0,63.92015183967575,34.234772606481364,43.36234249338975,87.20195050247975,408.7792485552061,68.38632418137773
137,21.199999999999996,Retail - Uncategorized,20000.0,50000.0,59.57400240027203,19.654752385235387,52.36317263668468,74.70197508653303,121.0,65.17349811506155
56,56.71050616857885,Grocery store or food market,50000.0,100000.0,204.69689664392737,54.86020145200701,172.55777183457167,258.01666778170784,307.7713545787676,209.2032665932711
65,17.836300004901787,Education - Elementary or middle school,50000.0,100000.0,55.840075987167666,12.498098091678566,46.268323332699275,60.49525557822641,81.83279851016432,53.88252815560231
89,84.99999999999999,Food Sales,100000.0,200000.0,122.99999999999999,19.37092241846489,114.99999999999999,136.99999999999997,229.99999999999994,125.83146067415728
245,45.92870887345536,Office - Bank or other financial,2000.0,5000.0,108.81230674945728,54.50997098666786,89.04171102297856,134.72872792850183,536.7309091676871,118.76691462437687
72,5.850977421952859,Office - Uncategorized,20000.0,50000.0,67.07732619245623,62.83665682988803,54.20696955972842,82.87271924384778,324.731740014661,83.94308621488508
167,8.886441232391451,Office - Uncategorized,100000.0,200000.0,71.00705623586774,81.2910965586238,58.48045599353867,85.10510854032327,564.5348080089087,96.56101044120537
94,31.390193009911314,Food Service - Uncategorized,1000.0,2000.0,307.0650675675675,59.47167213960411,271.4480509355509,344.3517125259957,459.0028735632183,308.8278034727933
3301,1.8929782043454089,Single Family - Uncategorized,2000.0,5000.0,48.224468553083696,22.868102568288563,34.93782624986585,63.85743151557583,185.80639426649793,50.99929880736125
104,23.509970564624027,Retail - Uncategorized,50000.0,100000.0,43.31004057102062,11.874223772149964,37.73934469751923,49.26981969846431,103.0,44.77484299183108
122,3.3106032023816874,Single Family - Detached,2000.0,5000.0,20.794050333415786,61.4537306897144,13.521774083669063,38.56163231510384,537.7157928690782,35.571937606473945
210,15.381842112811393,Office - Uncategorized,50000.0,100000.0,63.2136142368645,88.44122733344123,51.60115874848117,111.78471411733422,886.4999999999999,95.04957351975081
252,3.0,Retail - Uncategorized,2000.0,5000.0,109.34999999999998,54.48981668670057,87.475,139.59999999999997,498.4,115.93659575852205
102,1.2,Retail - Uncategorized,5000.0,10000.0,89.0837994722955,48.974939002235324,64.04999999999998,109.54999999999998,293.9,90.9024250640234
81,13.365323682452301,Office - Bank or other financial,5000.0,10000.0,74.386874848608,36.05155019213133,58.99890759525751,93.54369386007241,256.8019856279839,79.75423388110778
78,231.35168097512832,Food Service - Restaurant or cafeteria,2000.0,5000.0,420.9687989746154,76.19774246709177,367.8813074276361,460.5660180901328,609.4891419397678,421.4297449621555
297,13.239308985308627,Single Family - Uncategorized,0.0,1000.0,97.85747259276827,48.32076130157262,63.697078179641345,124.69503865034655,279.2241265025174,99.28927487936063
62,22.0,Retail - Uncategorized,100000.0,200000.0,46.25944189236846,16.321348059005242,33.68305222383346,60.55445304647214,82.00556725833377,47.82397527960161
