count,percentile_0,facility_type,floor_area_min,floor_area_max,percentile_50,standard_dev,percentile_25,percentile_75,percentile_100,mean
0,,Education - Elementary or middle school,200000.0,14500000.0,,,,,,
0,,Service - Post office or postal center,20000.0,50000.0,,,,,,
0,,Office - Government,1000.0,2000.0,,,,,,
0,,Transportation Terminal,20000.0,50000.0,,,,,,
24,25.731499674036503,Retail - Uncategorized,10000.0,20000.0,156.46951326437068,44.072199682607284,130.8960842340618,177.17341584657572,229.2799561165927,149.48611347089067
0,,Health Care - Inpatient,200000.0,14500000.0,,,,,,
0,,Office - Uncategorized,10000.0,20000.0,,,,,,
0,,Retail - Uncategorized,200000.0,14500000.0,,,,,,
0,,Service - Post office or postal center,200000.0,14500000.0,,,,,,
0,,Grocery store or food market,1000.0,2000.0,,,,,,
0,,Office - Government,20000.0,50000.0,,,,,,
0,,Retail - Uncategorized,20000.0,50000.0,,,,,,
0,,Service - Post office or postal center,10000.0,20000.0,,,,,,
0,,Commercial - Other,2000.0,5000.0,,,,,,
0,,Service - Other service,5000.0,10000.0,,,,,,
0,,Commercial - Uncategorized,200000.0,14500000.0,,,,,,
0,,Service - Post office or postal center,2000.0,5000.0,,,,,,
0,,Parking Garage,100000.0,200000.0,,,,,,
0,,Warehouse - Distribution or Shipping center,200000.0,14500000.0,,,,,,
0,,Office - Bank or other financial,1000.0,2000.0,,,,,,
0,,Office - Government,5000.0,10000.0,,,,,,
0,,Education - Elementary or middle school,100000.0,200000.0,,,,,,
0,,Office - Government,2000.0,5000.0,,,,,,
0,,Retail - Uncategorized,5000.0,10000.0,,,,,,
0,,Office - Uncategorized,1000.0,2000.0,,,,,,
