count,percentile_0,facility_type,floor_area_min,floor_area_max,percentile_50,standard_dev,percentile_25,percentile_75,percentile_100,mean
0,,Service - Post office or postal center,20000.0,50000.0,,,,,,
16,28.724637681159418,Education - Other classroom,50000.0,100000.0,38.8472052179927,6.501777452939839,35.99729157035147,42.6550167887556,52.124523230124716,39.06963962477448
14,106.13143074581428,Retail - Uncategorized,10000.0,20000.0,145.3007680144567,22.543134944926408,122.24052343883042,155.72010264620715,178.97323529411761,140.70776500376383
0,,Education - Elementary or middle school,20000.0,50000.0,,,,,,
0,,Education - Other classroom,1000.0,2000.0,,,,,,
0,,Commercial - Other,5000.0,10000.0,,,,,,
0,,Education - Other classroom,20000.0,50000.0,,,,,,
0,,Retail - Uncategorized,20000.0,50000.0,,,,,,
0,,Service - Post office or postal center,10000.0,20000.0,,,,,,
15,26.091308679488886,Education - Elementary or middle school,50000.0,100000.0,36.83384441267357,5.482404669276821,33.8868361064835,39.22676049163218,48.60776124112043,36.84408219420199
0,,Food Sales,100000.0,200000.0,,,,,,
0,,Food Service - Uncategorized,1000.0,2000.0,,,,,,
0,,Retail - Uncategorized,50000.0,100000.0,,,,,,
30,3.6408632534878964,Single Family - Detached,2000.0,5000.0,33.4918190988491,49.996508618906084,20.74705277033096,46.74306577117997,276.5883987326936,43.74148133282678
0,,Food Sales,200000.0,14500000.0,,,,,,
0,,Apartment Unit,0.0,1000.0,,,,,,
0,,Education - Elementary or middle school,100000.0,200000.0,,,,,,
11,9.916420633094422,Single Family - Detached,1000.0,2000.0,57.2503041008564,24.562457380138476,29.956271617719725,67.6759350749284,78.58282060182843,48.46667260672944
0,,Education - Other classroom,5000.0,10000.0,,,,,,
0,,Office - Uncategorized,20000.0,50000.0,,,,,,
0,,Education - Other classroom,100000.0,200000.0,,,,,,
0,,Single Family - Attached,2000.0,5000.0,,,,,,
0,,Retail - Uncategorized,100000.0,200000.0,,,,,,
0,,Single Family - Detached,5000.0,10000.0,,,,,,
0,,Commercial - Other,10000.0,20000.0,,,,,,
