count,percentile_0,facility_type,floor_area_min,floor_area_max,percentile_50,standard_dev,percentile_25,percentile_75,percentile_100,mean
32,38.414117647058816,Service - Post office or postal center,20000.0,50000.0,71.44757692307692,30.453289764580447,56.4788000977517,97.4580592105263,150.36624203821654,79.69855013072619
67,36.06800916253123,Single Family - Detached,0.0,1000.0,87.60970595493046,37.41291459595847,63.37913454658164,105.00407518299198,249.44395243774187,91.45895283212964
220,52.39999999999999,Retail - Uncategorized,10000.0,20000.0,124.9966500372111,21.183870857953988,114.05655677773451,141.46465852137143,194.94669792887842,127.71285041705364
20,40.451317171658985,Commercial - Unknown,2000.0,5000.0,152.4809384089972,292.234331834133,99.54173518770615,478.17992500979324,955.8755401796386,312.92242590657366
36,32.625699551291056,Office - Uncategorized,200000.0,14500000.0,76.52548057118668,46.34142177773565,65.89073671852654,94.46352249842681,257.0611318109264,90.66978726687103
77,7.166844683889626,Residential - Other,2000.0,5000.0,53.537809303282486,22.7534145948649,38.56970517617173,65.52327482889667,149.4509127968409,53.60080498615657
586,20.28282271879084,Single Family - Uncategorized,1000.0,2000.0,61.269516509425486,23.996435116078608,46.816302705062036,76.75905882705483,183.32977868808712,64.50678410139457
65,99.99999999999999,Food Sales,100000.0,200000.0,139.99999999999997,16.751765119395166,130.99999999999997,150.99999999999997,180.99999999999997,139.81538461538457
43,47.86154668787386,Retail - Uncategorized,20000.0,50000.0,73.0,21.700449592735907,60.439224942269554,96.0,124.0,78.71874957747028
35,41.572192513368975,Service - Post office or postal center,10000.0,20000.0,86.45685279187816,24.780468594785468,72.31447037491957,97.94340659340658,139.11194029850745,87.27689791422961
69,20.6455521556852,Education - Elementary or middle school,50000.0,100000.0,44.42371582717446,9.231264772118465,38.2630338255547,48.29742391643271,69.36414727332563,43.77946586573662
26,9.697367756310898,Commercial - Unknown,10000.0,20000.0,37.86499978223253,40.436536004785644,28.9231944455699,70.04161737717695,175.30463479637547,54.717572415403275
28,30.216787400593365,Office - Uncategorized,100000.0,200000.0,60.4814643691286,23.394481091937298,52.61011403772029,78.51278330649667,130.08198052296706,65.84858102860596
70,210.63424577751888,Food Service - Uncategorized,1000.0,2000.0,316.1565775401069,73.4261028197133,297.3298513215858,352.49854297715376,766.2684889768601,333.049637736476
887,9.688594227876244,Single Family - Uncategorized,2000.0,5000.0,42.739864963599274,14.595643197287227,34.83431902620552,52.92486189573183,128.78196826908456,44.74923178071116
67,31.806653384025818,Retail - Uncategorized,50000.0,100000.0,46.57230296036386,11.30236259836647,44.43283002033365,53.471714636224625,92.0,50.663529620996734
503,1.1473858910381711,Single Family - Detached,2000.0,5000.0,46.29097782473551,24.34063788502757,32.19857312089383,59.98297605139582,188.39664362162796,47.750999204255855
27,27.343010019093498,Office - Uncategorized,50000.0,100000.0,54.41417099774456,18.841983538084676,49.961480126011324,66.14501460411321,116.29325135853789,60.11091976895719
24,5.704434896009394,Service - Uncategorized,5000.0,10000.0,94.40044840171777,33.576246652635795,77.57594947597593,103.07089757461993,161.12276694585879,86.58089031523518
22,28.83319803287324,Education - Elementary or middle school,100000.0,200000.0,47.41105937304701,9.350478555634004,41.66898676508013,53.56805852931392,64.82472420700955,47.71090803584166
488,6.3160385490220845,Single Family - Detached,1000.0,2000.0,72.71698341068931,28.951625478287994,58.308616871005874,91.54340059230113,234.2508240516089,75.66885701388917
33,39.71257849776049,Retail - Big Box (> 50K sf),50000.0,100000.0,45.33566036274375,7.9917100388967315,42.73189188647548,49.759459319429965,74.19397839055117,47.71953497511459
50,35.333479437038065,Single Family - Uncategorized,0.0,1000.0,81.1589849522204,31.921894554490944,66.08255425595144,96.20389976218377,240.51543962901212,82.88517211220682
47,28.0,Retail - Uncategorized,100000.0,200000.0,55.298730013649056,15.39820684644772,43.04825975939623,66.74731568335685,95.89456605164834,56.21804950624472
32,2.346168463753744,Single Family - Detached,5000.0,10000.0,22.62506415365895,15.458322962754652,16.646440514162354,28.666600704856094,78.03474122611507,24.328927676993672
