count,percentile_0,facility_type,floor_area_min,floor_area_max,percentile_50,standard_dev,percentile_25,percentile_75,percentile_100,mean,state
0.0,,Service - Post office or postal center,20000.0,50000.0,,,,,,,AK
0.0,,Apartment Unit,1000.0,2000.0,,,,,,,AK
0.0,,Retail - Uncategorized,10000.0,20000.0,,,,,,,AK
0.0,,Health Care - Inpatient,200000.0,14500000.0,,,,,,,AK
0.0,,Office - Uncategorized,10000.0,20000.0,,,,,,,AK
0.0,,Lodging - Dormitory or fraternity/sorority,20000.0,50000.0,,,,,,,AK
0.0,,Office - Uncategorized,200000.0,14500000.0,,,,,,,AK
21.0,34.2574930749,Service - Post office or postal center,10000.0,20000.0,146.195945946,204.957007405,112.236486486,185.38974359,709.72173913,227.242749812,AK
0.0,,Education - Elementary or middle school,50000.0,100000.0,,,,,,,AK
0.0,,Food Sales,100000.0,200000.0,,,,,,,AK
0.0,,Commercial - Other,50000.0,100000.0,,,,,,,AK
0.0,,Food Service - Uncategorized,1000.0,2000.0,,,,,,,AK
0.0,,Retail - Uncategorized,50000.0,100000.0,,,,,,,AK
0.0,,Warehouse - Non-refrigerated,10000.0,20000.0,,,,,,,AK
11.0,12.5311386224,Single Family - Detached,2000.0,5000.0,80.154045024,30.7562175313,73.3256919603,90.2254118474,132.43182809,77.2934335631,AK
0.0,,Food Sales,200000.0,14500000.0,,,,,,,AK
0.0,,Education - Other classroom,10000.0,20000.0,,,,,,,AK
0.0,,Office - Government,100000.0,200000.0,,,,,,,AK
0.0,,Office - Uncategorized,50000.0,100000.0,,,,,,,AK
0.0,,Food Service - Uncategorized,2000.0,5000.0,,,,,,,AK
0.0,,Apartment Unit,0.0,1000.0,,,,,,,AK
0.0,,Education - Elementary or middle school,20000.0,50000.0,,,,,,,AK
0.0,,Retail - Big Box (> 50K sf),50000.0,100000.0,,,,,,,AK
0.0,,Office - Uncategorized,20000.0,50000.0,,,,,,,AK
0.0,,Retail - Uncategorized,100000.0,200000.0,,,,,,,AK
11.0,31.7161572052,Service - Post office or postal center,20000.0,50000.0,52.094224924,21.5111898908,45.8191955282,60.4432185731,99.5321888412,57.8026423239,AL
0.0,,Multifamily - Uncategorized,10000.0,20000.0,,,,,,,AL
106.0,22.5,Retail - Uncategorized,10000.0,20000.0,107.851652733,27.4609535694,101.338617415,118.693126959,181.489794147,108.299075877,AL
14.0,18.8714801921,Education - Elementary or middle school,20000.0,50000.0,47.7739443996,19.3596510578,34.435604593,63.8485224004,78.2131325802,48.6717700402,AL
25.0,3.18181818182,Commercial - Other,5000.0,10000.0,62.0923076923,86.2709520166,47.7254901961,77.9529411765,461.808219178,84.2880905648,AL
0.0,,Single Family - Uncategorized,1000.0,2000.0,,,,,,,AL
39.0,11.5,Retail - Uncategorized,20000.0,50000.0,51.2172475785,19.541669545,42.5948854056,65.2962555373,100.0,54.4188978181,AL
40.0,16.0,Service - Post office or postal center,10000.0,20000.0,53.1341571311,23.3504047258,42.2173774955,61.9996882525,159.333333333,54.6776060196,AL
25.0,5.24324324324,Commercial - Other,2000.0,5000.0,55.0434782609,97.2332259968,34.6363636364,105.413043478,389.416666667,87.3906989806,AL
27.0,11.2746370813,Education - Elementary or middle school,50000.0,100000.0,37.5096747086,15.1851029932,29.5695727568,47.4532484269,68.6832933618,39.2784187457,AL
59.0,87.0,Food Sales,100000.0,200000.0,106.0,14.2447504865,99.0,116.5,153.0,109.186440678,AL
46.0,23.1,Retail - Uncategorized,2000.0,5000.0,86.6,66.7218807327,69.1,103.275,508.5,94.8042765502,AL
16.0,201.205,Food Service - Uncategorized,1000.0,2000.0,319.423437612,64.1650407685,266.648784607,344.080714286,433.897612732,314.773308119,AL
